,Região,ano,capacidade,Dependência_união,Dependência_estadual,Dependência_sus_união,Dependência_sus_estado
204,Itapipoca,2017,0.04423858589054635,0.7493522040598999,0.20583791768946683,0.9901604049992982,0.0005535607181414691
205,Itapipoca,2018,0.10696581222872646,0.7054824405466844,0.1875515815766241,0.9753216900997805,0.022955870600271253
206,Itapipoca,2019,0.058010991424661276,0.7467909247019827,0.1952005868953833,0.9701602978670786,0.021475242841356733
207,Juazeiro Do Norte,2013,0.2094549683182578,0.48576604179743504,0.3038561933015745,0.9418890133553116,0.05160784177157638
208,Juazeiro Do Norte,2014,0.2111821256267146,0.4656853562813357,0.3222219811276133,0.9201520970402245,0.07984744648606538
209,Juazeiro Do Norte,2015,0.23078744723166048,0.448963392076214,0.3193870473031924,0.9581967394675054,0.041802983653036814
210,Juazeiro Do Norte,2016,0.23159562754803448,0.4576134890837491,0.3099980359675835,0.9910808385493398,0.0006361440596232176
211,Juazeiro Do Norte,2017,0.30249746571325964,0.3866938497520263,0.3100977893746335,0.9180333144120036,0.07365545931849747
212,Juazeiro Do Norte,2018,0.2953817843302808,0.3951331060163235,0.3094866965426165,0.9397678180419388,0.057869528337245776
213,Juazeiro Do Norte,2019,0.29734014891618527,0.3973485595362394,0.3053091280703381,0.9334963165704782,0.06397238399987958
214,Juazeiro Norte,2013,0.06891910812123078,0.6878197829359939,0.2424189405635191,0.9913177597151218,0.0013766050299076574
215,Juazeiro Norte,2014,0.1524088703101125,0.8065838320309716,0.31619927938626696,1.0304474356466746,0.025274725499321145
216,Juazeiro Norte,2015,0.14058209992372062,0.8182470690535849,0.3112940339869517,1.0016168997677857,0.017833593439937803
217,Juazeiro Norte,2016,0.08278017869454889,0.71831727473043,0.19833932786966813,0.9822872423433576,0.0008354128615931412
218,Juazeiro Norte,2017,0.15892641213881573,0.6147720908385381,0.22570755394759745,0.8723603292816733,0.12233224263451177
219,Juazeiro Norte,2018,0.1808198031976174,0.5711564201434931,0.2480243030112234,0.9896647329069073,0.008851777208928357
220,Juazeiro Norte,2019,0.12490976810899544,0.6211002307077339,0.25398923776351046,0.9988607176749232,0.0008374434016162385
221,Quixadá,2013,0.07726372252971177,0.6720037150775107,0.24984844629369435,0.948027132742277,0.045581063457108224
222,Quixadá,2014,0.08735813850177547,0.6781492244983216,0.23375527508833246,0.7931241964573794,0.10508998539926803
223,Quixadá,2015,0.08546727135701665,0.6956678653579234,0.21820663091667708,0.9093039533217177,0.0783138225747527
224,Quixadá,2016,0.08671161660989449,0.6917148724441747,0.22093352607560407,0.9228788162768466,0.07406224746840585
225,Quixadá,2017,0.07678193595650508,0.6765375473100395,0.24601731508376884,0.9087420717973024,0.0892630452425467
226,Quixadá,2018,0.09131283165402386,0.6599973542237735,0.24868939179940908,0.8302703503208424,0.05311406494968056
227,Quixadá,2019,0.08671247567696033,0.6351787350533993,0.2781089886071625,0.79729952510743,0.05972323908832827
228,Sobral,2013,0.14514431527010144,0.38928792961057107,0.4639437668085467,1.0,0.0
229,Sobral,2014,0.1810846884737446,0.37444757082979246,0.44306229564866695,0.8933964739843023,0.10660531526588257
230,Sobral,2015,0.18582435147972232,0.36671852119108517,0.44608801607599563,0.917335435460354,0.07120461361561896
231,Sobral,2016,0.16675335426657692,0.40141878263850855,0.43057401964268543,0.9102446913233019,0.07822798012468944
232,Sobral,2017,0.1936725667224173,0.36806633004906586,0.4370995743399098,0.9157278404996397,0.07380494835455201
233,Sobral,2018,0.21383623617944142,0.37102706216545106,0.4151378883007712,0.922868963953752,0.07207662661527998
234,Sobral,2019,0.21857179867801926,0.37501226788315034,0.40641439334528345,0.9141377846013131,0.07992519517851893
235,Tianguá,2013,0.053209273912449784,0.7307461693365818,0.21530830296888812,0.9875076405867971,0.003971021338075128
236,Tianguá,2014,0.06034229874236769,0.7175085606507601,0.22146003566716832,0.8480411260818635,0.01963925853138584
237,Tianguá,2015,0.07835288821218919,0.7059791301092865,0.21501026220146036,0.9637593605953365,0.012889065577433755
238,Tianguá,2016,0.08617597377328588,0.7108945720441141,0.20236170647558965,0.974104079659407,0.01414145400496938
239,Tianguá,2017,0.08706091480598309,0.6820843890093214,0.23026409061348363,0.979222016647892,0.017770642292198133
240,Tianguá,2018,0.11261701425834184,0.6519211110111541,0.23546206892272947,0.669177431310836,0.01382013585932848
241,Tianguá,2019,0.09173097090420637,0.6892013093453077,0.21906867069871613,0.9795436775771508,0.018684677430133252
